Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
399;100;43532120.00;455;9.96;-1.43;-1.00;0.13
400;100;43618212.00;457;9.52;0.48;-0.95;0.38
401;100;43704328.00;461;9.56;0.50;-0.19;0.06
402;100;43790460.00;463;9.60;-1.56;-1.33;0.39
403;100;43876576.00;465;9.68;1.10;-1.02;0.35
404;100;43962680.00;463;9.96;0.02;-0.30;0.30
405;100;44048792.00;461;9.80;-0.80;-1.24;0.10
406;100;44134916.00;461;9.60;1.48;-0.86;0.26
407;100;44221016.00;460;9.72;-0.96;-0.62;0.16
408;100;44307140.00;459;9.64;-0.22;-1.31;0.40
409;0;44393240.00;459;6.79;-0.72;-0.91;0.19
410;0;44479376.00;401;3.29;0.15;-1.03;0.10
411;0;44565432.00;224;0.24;-0.16;-0.86;0.16
412;0;44651556.00;106;0.24;-0.13;-1.01;0.03
